==================================================================
                        General Data File
==================================================================
Units:
length m mass kg
Number of elements and nodes:
3979 864

.................................................................

Node                X m        Y m        Z m
Coordinates:
678       6.4842       3.7671      -2.0897
679       3.7704       7.2264            0
680       2.7161      0.79995      -5.3584
681       4.9228       7.3216            0
682       3.7748      0.75752      -5.1817
683          1.6          8.2            0
684       4.9477       3.4644      -1.9067
685       7.0075       4.7022      -1.5108
686            0            3      -3.3333
687       2.7813       2.6217      -2.6688
688            7            1      -5.5556
689            6          7.5            0
690       6.5479       2.2838      -3.3474
691       2.0221       0.9779           -5
692       1.3481        2.543      -3.0928
693       3.9277      0.23192      -6.1007
694       1.6649       3.1902      -2.3153
695       2.1623       4.4057      -1.2553
696       4.8501      0.46253      -5.5472
697       3.2671         3.75      -1.4931
698      0.49713       4.5215      -1.6488
699            3            0      -6.6667
700       5.7407        3.037      -2.2072
701       6.4055        1.611      -3.9909
702      0.95904       3.0296       -2.604
703       2.7432       6.6758            0
704       2.5806       1.0697      -4.4325
705       7.2319       1.9277      -3.8993
706       1.2361       5.6073     -0.72085
707       1.7716       7.1379            0
708        4.354       2.7159       -2.215
709       6.4992       4.4586      -1.2326
710       6.8908       5.3907     -0.81989
711       3.7147       6.2137            0
712       4.8353       2.0025      -2.9228
713       5.7743      0.69357           -5
714       4.7013       6.2106            0
715       5.5895       6.4882            0
716       2.6529       2.0121      -2.9752
717       7.7657       4.0628      -1.8822
718       5.1098       4.6091     -0.74377
719          0.8          7.6            0
720       4.6243       1.0443      -4.0166
721       5.9637       3.4429       -1.621
722       2.6117       4.6006     -0.71068
723       3.6406       2.1101      -2.5787
724       3.4041       2.8168      -1.9057
725       3.8104       4.5176      -0.6505
726       1.8419       3.5355      -1.5551
727            0          5.5     -0.95263
728       6.6667       6.6667            0
729       1.7011       1.7764      -3.2617
730            0       3.9848      -1.8064
731        6.674       3.8825       -1.354
732       7.3623       2.4492      -2.8462
733       7.3773       3.9773      -1.5247
734            8            5      -1.1111
735       3.0713       1.2615      -3.4319
736       1.9053            6            0
737       3.9242      0.23105           -5
738            3            0      -5.5556
739            7            1      -4.4444
740       2.8198       5.5845            0
741       1.0207       1.9793      -3.0571
742      0.95263          6.5            0
743       1.2197       4.2394       -1.011
744       5.4171       3.7583     -0.99839
745       2.4111       2.8177      -1.7561
